sabaeplan,year,num,team,title,withlink,video_id,video_t,video_url,prize,img_grarec
202501,2025,1,インコ,怪盗レッサーパンダから鯖江市民の財宝を守れ,https://x.com/sabaepc_with/status/1967453613850275843,NIX5oTgDog4,17:54,https://www.youtube.com/live/NIX5oTgDog4?t=1074s,,img/sabaepc2025/team1.jpg
202502,2025,2,キツツキ,めがねみこし,https://x.com/sabaepc_with/status/1967456454878924895,NIX5oTgDog4,34:53,https://www.youtube.com/live/NIX5oTgDog4?t=2093s,優秀賞,img/sabaepc2025/team2.jpg
202503,2025,3,ハヤブサ,愛鏡（めがね）,https://x.com/sabaepc_with/status/1967460074550669690,NIX5oTgDog4,50:30,https://www.youtube.com/live/NIX5oTgDog4?t=3030s,,img/sabaepc2025/team3.jpg
202504,2025,4,シマエナガ,MEBAE,https://x.com/sabaepc_with/status/1967467556849201558,NIX5oTgDog4,1:16:50,https://www.youtube.com/live/NIX5oTgDog4?t=4610s,,img/sabaepc2025/team4.jpg
202505,2025,5,フラミンゴ,動物園CHILL NIGHT,https://x.com/sabaepc_with/status/1967470832193884525,NIX5oTgDog4,1:32:35,https://www.youtube.com/live/NIX5oTgDog4?t=5555s,優秀賞,img/sabaepc2025/team5.jpg
202506,2025,6,フクロウ,SABAEフォント,https://x.com/sabaepc_with/status/1967476137011110250,NIX5oTgDog4,1:51:25,https://www.youtube.com/live/NIX5oTgDog4?t=6685s,"最優秀賞,オーディエンス賞",img/sabaepc2025/team6.jpg
